x,y
334083.9779031282,392190.0163271685
336292.97098077624,394373.0126815909
342389.01915238146,386806.97687207075
337707.0228200069,392698.9487677755
341726.02350781433,393267.047022692
337585.9776363194,391084.0431136411
333731.0076791406,395654.0026859426
336939.99546384224,393163.97485213185
338754.9950689934,384921.95559190185
333935.9770550533,390443.03232916276
336825.98748290935,393493.96074599697
339227.99235386564,393245.9639026409
334606.9859691365,390610.9702922503
341726.02350781433,393267.047022692
345027.9727628987,383118.96255772666
334359.00061275245,390492.00531832996
334327.02301436797,396718.9985386947
340425.96445891773,396027.9796542285
335688.01331583207,391297.04570153425
342568.0112292091,392547.98481120885
339480.00498642726,386777.02289026364
334393.96763587487,390481.95157214877
336262.0122147844,395924.96709815605
334466.9666036666,394809.99645124533
337488.9768742486,387556.0275034599
333795.0198732694,396861.9494736924
335854.9983368425,394228.0520463909
337125.9770497791,389279.02302963805
342155.00671179953,393767.04073167226
338871.99800948857,390711.9859603357
337606.99785428355,397142.9944426366
337552.00191893184,392599.9608508687
340944.02668729477,395226.02918573667
337109.99759924033,390169.0437985483
336269.98587622854,388181.00870846334
338735.9994236251,395732.0258919969
343885.00169299764,392000.9998524288
335822.00072460703,394165.9664208193
338754.9950689934,384921.95559190185
341849.0080188486,386942.97260241606
336487.01992991316,390217.97125702613
339762.0116546774,384928.9763653884
341488.9678139949,391942.0105949312
336886.0216924776,394960.0146437901
333784.0237607097,385356.0385969789
338461.98972932703,392956.00031580566
340285.01838620566,388532.04780012154
335624.9896995062,389815.02471263485
343013.00211585563,385001.9566088329
340477.9874743542,389109.98319901
341870.99417317356,387297.9725208387
338438.98963003093,388415.0343225278
335144.00397587154,381974.96074178396
335144.00397587154,381974.96074178396
337833.0249890662,388921.98018365086
338550.02056312194,388446.9730376893
341703.0053603164,389108.989056261
335009.0076705049,396518.9644328512
334577.991862322,389955.9955297327
340336.98072045454,392743.050818295
335576.02547824,393969.0259376357
334292.9927337823,389361.9803678241
334011.986640699,385584.96800584113
334470.9647297392,390164.992146367
342696.02940775943,392516.94700279523
333935.9770550533,390443.03232916276
334684.990927008,393395.96802131564
338108.00270116853,389030.98200356954
338140.0105825053,392538.0492740919
339135.00849738583,395870.9628159381
337240.0086408253,397036.0298235668
338963.9828477976,397303.96518983156
338477.0240027212,395984.96436402044
338732.9704566616,391491.9864055954
339235.98755690217,394013.0504740897
338381.98934624123,397491.9980193101
340073.9896658769,391328.94679924403
334773.9908760933,390697.0145047398
336597.96968027524,387602.02238195174
337717.02124135307,395011.9725153031
333700.9709347406,395865.9491580773
334948.02508207987,390244.98227107775
337990.97113474883,397139.0518849284
335624.9896995062,389815.02471263485
339576.9832385585,389861.98177343403
334761.0201673981,397011.97015432606
336090.0086179213,395434.0326825267
340835.0048701175,388860.94761823746
334565.99670338794,390699.9955753222
337150.97880446,391628.0019473497
334595.98333691945,393383.9566513335
338831.00228315644,388366.0066293154
339215.9817812507,391099.9957711842
340436.9823646436,384971.9680363559
337521.02397086803,389446.03794442693
334219.0255500114,381995.02823358285
338282.99947416486,392286.0521907708
342779.9896768347,391985.97252220317
338895.003947447,393075.0072103383
334964.9878360995,390322.9713604873
336383.9729332514,392885.0133739053
336413.0095951763,392038.98151585605
336823.97372699337,392307.9767080196
339159.0055105509,392568.0083499463
334811.02424217475,391512.9976909301
335575.02744057326,390311.96208626224
336958.96404343017,390885.9490731593
334947.9922628624,390199.028645283
336046.97373500565,391281.05575243366
334966.02004611015,395884.98304611334
336902.0217496436,388057.94480955636
335622.99173628463,392571.958597758
335624.9896995062,389815.02471263485
338995.98013968166,387587.0161164059
333492.0031713853,396014.9830610394
339976.9894218544,392836.95183244464
336321.0210919371,395330.9955169345
343895.00314300077,385945.9737715605
337537.97533042484,392504.0103631097
343013.00211585563,385001.9566088329
334580.02200928284,397319.01958262146
337083.9815993254,389466.9555473056
334905.00900104555,390075.99947483354
337301.96473954956,391052.9693043613
345162.9782376016,391319.9860681669
338363.0040710803,392045.00510875834
